Date,Time,Label,Temperature_F,PIR_1,PIR_2,PIR_3,PIR_4,PIR_5,PIR_6,PIR_7,PIR_8,PIR_9,PIR_10,PIR_11,PIR_12,PIR_13,PIR_14,PIR_15,PIR_16,PIR_17,PIR_18,PIR_19,PIR_20,PIR_21,PIR_22,PIR_23,PIR_24,PIR_25,PIR_26,PIR_27,PIR_28,PIR_29,PIR_30,PIR_31,PIR_32,PIR_33,PIR_34,PIR_35,PIR_36,PIR_37,PIR_38,PIR_39,PIR_40,PIR_41,PIR_42,PIR_43,PIR_44,PIR_45,PIR_46,PIR_47,PIR_48,PIR_49,PIR_50,PIR_51,PIR_52,PIR_53,PIR_54,PIR_55
2024-08-08,19:25:16,0,87,10352,10807,11374,11495,11155,10667,10203,9896,9722,9630,9650,9680,9698,9696,9702,9743,9876,9978,10055,10167,10269,10258,10293,10267,10302,10304,10334,10332,10393,10507,10511,10500,10431,10393,10419,10317,10311,9890,9292,9072,9336,9789,10293,10764,11064,11268,11283,11242,11143,11039,10956,10866,10684,10492,10323
2024-08-08,19:25:32,0,87,10476,10637,10978,11323,11254,10844,10451,10120,9873,9704,9659,9526,9471,9547,9678,9749,9854,9900,9934,10102,10241,10365,10353,10327,10364,10419,10356,10326,10429,10533,10406,10309,10291,10274,10366,10451,10492,10237,9600,9221,9171,9506,9947,10354,10752,11047,11191,11285,11127,11063,11093,10986,10787,10651,10468
2024-08-08,19:25:48,0,87,10354,10816,11286,11274,11008,10664,10354,10090,9933,9744,9572,9416,9528,9655,9786,9860,9915,10025,10037,10093,10199,10210,10238,10219,10240,10329,10494,10489,10490,10510,10492,10375,10340,10405,10430,10424,10380,9896,9306,9005,9196,9667,10258,10698,11006,11185,11259,11331,11251,11055,10805,10661,10528,10404,10355
2024-08-08,19:26:04,0,87,10536,11065,11304,11201,10846,10459,10160,9950,9698,9559,9579,9664,9645,9614,9666,9764,9913,9964,10025,10164,10279,10349,10437,10437,10420,10450,10502,10443,10389,10346,10332,10426,10499,10479,10443,10317,10035,9387,8961,8987,9430,10004,10581,10990,11210,11271,11265,11219,11139,11008,10828,10691,10575,10418,10313
2024-08-08,19:26:20,0,87,10420,10795,11209,11317,11066,10649,10295,10018,9842,9738,9661,9631,9561,9609,9705,9753,9812,9970,9992,10013,10187,10289,10349,10418,10435,10429,10388,10361,10316,10260,10292,10396,10538,10521,10480,10496,10394,9805,9128,8861,9128,9720,10253,10715,11032,11222,11308,11365,11225,11062,10858,10716,10622,10524,10440
2024-08-08,19:26:36,0,87,10636,11077,11257,11175,10822,10442,10099,9767,9564,9517,9576,9656,9755,9772,9884,9926,9924,10058,10247,10252,10372,10418,10374,10383,10415,10290,10284,10263,10306,10230,10286,10314,10362,10475,10510,10569,10203,9415,8927,9012,9483,10068,10524,10901,11228,11315,11232,11173,11060,10923,10754,10547,10452,10429,10496
2024-08-08,19:26:52,0,87,10449,10909,11281,11303,11066,10725,10290,9988,9862,9735,9619,9575,9543,9554,9632,9720,9864,9994,10139,10190,10193,10302,10394,10374,10438,10449,10418,10331,10365,10523,10546,10493,10398,10348,10309,10328,10275,9749,9122,8911,9229,9729,10285,10814,11122,11245,11270,11219,11112,10956,10815,10720,10673,10493,10425
2024-08-08,19:27:08,0,87,10496,11039,11193,11114,10814,10451,10156,9991,9776,9647,9553,9570,9610,9613,9696,9749,9900,10104,10168,10170,10267,10435,10506,10613,10560,10358,10285,10375,10413,10424,10354,10265,10278,10274,10229,10241,10036,9472,9032,9130,9554,10045,10501,10842,11129,11343,11458,11449,11316,11050,10822,10591,10391,10319,10256
2024-08-08,19:27:24,0,87,10325,10775,11077,11122,10922,10541,10145,9961,9891,9800,9662,9532,9539,9659,9895,9980,9955,10050,10125,10052,10127,10109,10260,10367,10427,10492,10518,10515,10423,10343,10345,10280,10229,10248,10322,10343,10285,9852,9310,9003,9242,9812,10346,10801,11141,11265,11201,11136,11129,10979,10723,10688,10668,10483,10435
2024-08-08,19:27:40,0,87,10304,10630,11169,11369,11221,10849,10432,10103,9822,9653,9539,9614,9710,9709,9785,9794,9839,9860,9872,10012,10200,10369,10410,10373,10318,10352,10455,10373,10326,10334,10411,10451,10474,10477,10456,10408,10329,9986,9324,8894,9002,9444,10042,10588,10948,11204,11344,11301,11108,11072,11000,10956,10813,10642,10499
2024-08-08,19:27:56,0,87,10266,10924,11459,11554,11135,10703,10355,10036,9712,9520,9406,9482,9670,9831,9808,9965,10019,10012,10031,10040,10131,10201,10259,10384,10477,10392,10354,10388,10364,10327,10352,10409,10492,10500,10428,10279,10118,9560,9073,8935,9223,9801,10371,10776,11132,11386,11327,11228,11235,11101,10859,10807,10635,10476,10422
2024-08-08,19:28:12,0,87,10289,10625,11216,11468,11324,10963,10524,10177,9919,9688,9649,9588,9539,9573,9647,9673,9821,9951,9947,9996,10155,10187,10221,10302,10438,10511,10502,10402,10377,10379,10543,10611,10520,10455,10404,10318,10231,9920,9257,8875,9076,9456,9981,10494,10903,11113,11265,11389,11366,11239,11056,10890,10791,10602,10403
2024-08-08,19:28:28,0,87,10527,10909,11267,11297,11047,10594,10175,9813,9606,9627,9610,9687,9730,9697,9752,9798,9909,10015,10136,10183,10241,10282,10367,10380,10253,10240,10279,10298,10364,10388,10402,10397,10453,10493,10411,10376,10247,9666,9200,9094,9421,9813,10285,10734,11064,11200,11263,11229,11190,11074,10853,10658,10528,10383,10321
2024-08-08,19:28:44,0,87,10335,10629,11117,11332,11214,10824,10375,10045,9815,9651,9592,9649,9683,9740,9856,9857,9876,9929,10155,10230,10202,10144,10163,10233,10355,10324,10292,10338,10459,10469,10427,10444,10487,10433,10391,10364,10359,10050,9318,8933,9055,9425,9989,10512,10883,11161,11354,11393,11303,11124,10990,10949,10808,10729,10580
2024-08-08,19:29:00,0,87,10369,10851,11389,11358,10918,10510,10223,9898,9694,9487,9422,9511,9596,9620,9627,9730,9962,10114,10185,10283,10329,10337,10356,10483,10503,10522,10498,10341,10279,10359,10405,10327,10345,10354,10400,10472,10324,9706,9171,9016,9320,9876,10405,10813,11082,11267,11380,11320,11134,11006,10804,10662,10554,10484,10293
2024-08-08,19:29:16,0,87,10357,10700,11225,11411,11185,10862,10472,10106,9811,9650,9577,9498,9498,9541,9610,9734,9880,9976,9968,10039,10175,10243,10337,10333,10371,10479,10555,10480,10411,10404,10372,10385,10369,10272,10332,10449,10451,10135,9422,9002,9087,9478,10017,10489,10874,11026,11177,11325,11342,11268,11061,10957,10809,10696,10524
2024-08-08,19:29:32,0,87,10347,10877,11266,11200,10998,10710,10348,10012,9673,9490,9398,9426,9567,9626,9678,9782,9886,10011,10154,10239,10303,10373,10353,10389,10390,10429,10431,10415,10352,10406,10455,10463,10528,10502,10440,10321,10105,9511,8994,8946,9278,9775,10364,10896,11202,11317,11395,11320,11139,10977,10769,10654,10622,10491,10327
2024-08-08,19:29:48,0,87,10784,11263,11449,11230,10807,10335,10014,9771,9722,9614,9576,9569,9562,9656,9738,9771,9895,10110,10188,10167,10152,10166,10235,10337,10470,10483,10402,10446,10522,10601,10510,10392,10398,10418,10503,10477,9991,9161,8815,8980,9528,10154,10664,11014,11226,11258,11221,11149,11015,10900,10812,10732,10634,10503,10366
2024-08-08,19:30:04,0,87,10449,11024,11394,11317,11097,10725,10283,9951,9638,9496,9486,9488,9573,9610,9696,9799,9919,10015,10151,10236,10277,10303,10294,10343,10404,10392,10358,10333,10393,10451,10492,10522,10465,10443,10409,10280,10122,9577,9006,8906,9245,9827,10367,10924,11269,11466,11439,11314,11089,10868,10772,10675,10546,10418,10387
2024-08-08,19:30:20,0,87,10175,10572,11095,11282,11236,10974,10514,10037,9785,9603,9489,9518,9562,9605,9648,9767,9947,9980,10052,10188,10192,10195,10243,10296,10434,10536,10484,10377,10396,10344,10320,10315,10403,10538,10564,10494,10349,9814,9165,8901,9051,9511,10116,10595,10990,11250,11439,11457,11316,11251,11039,10764,10575,10526,10374
2024-08-08,19:30:36,0,87,10427,10872,11237,11149,10906,10625,10297,9989,9755,9520,9554,9530,9533,9599,9582,9688,9805,10030,10180,10261,10283,10347,10384,10411,10423,10491,10457,10462,10437,10384,10342,10369,10335,10362,10391,10440,10302,9656,9040,8846,9019,9560,10210,10819,11207,11367,11466,11383,11320,11221,11066,10841,10616,10500,10355
2024-08-08,19:30:52,0,87,10237,10641,11303,11537,11307,10853,10404,10036,9818,9700,9592,9523,9508,9546,9601,9598,9809,10039,10167,10262,10277,10288,10292,10288,10271,10402,10419,10365,10382,10363,10391,10417,10377,10309,10275,10253,10317,9961,9298,9024,9174,9669,10239,10724,11085,11323,11337,11347,11252,11078,10918,10861,10728,10567,10376
2024-08-08,19:31:08,0,87,10465,11007,11429,11360,10973,10485,10083,9829,9719,9694,9619,9565,9589,9614,9699,9846,9932,10011,10179,10303,10354,10326,10288,10321,10311,10355,10383,10392,10293,10222,10351,10353,10324,10404,10487,10509,10173,9539,9037,8996,9371,9858,10424,10853,11178,11356,11377,11324,11301,11095,10888,10678,10565,10449,10254
2024-08-08,19:31:24,0,87,10402,10819,11333,11412,11176,10757,10381,9961,9767,9629,9498,9480,9513,9552,9608,9653,9704,9920,10123,10196,10199,10239,10364,10324,10287,10387,10461,10501,10492,10522,10447,10368,10342,10270,10175,10155,10171,9778,9228,9018,9291,9886,10372,10750,11085,11314,11407,11324,11200,11117,11013,10804,10606,10429,10274
2024-08-08,19:31:40,0,87,10352,10574,11098,11394,11308,11025,10640,10276,9937,9563,9328,9347,9397,9508,9642,9690,9881,10060,10085,10127,10246,10339,10336,10342,10398,10411,10452,10434,10336,10333,10377,10379,10338,10317,10341,10434,10417,10110,9519,9018,9031,9364,9861,10327,10759,11047,11241,11401,11420,11300,11146,11019,10880,10636,10438
2024-08-08,19:31:56,0,87,10294,10887,11375,11458,11301,10638,10112,9814,9670,9605,9569,9538,9546,9630,9724,9806,9764,9881,10117,10256,10319,10354,10323,10274,10338,10422,10512,10556,10556,10481,10371,10361,10356,10370,10415,10383,10352,9950,9155,8785,8939,9393,9997,10606,11082,11319,11448,11440,11324,11080,10996,10871,10764,10627,10519
2024-08-08,19:32:12,0,87,10402,11016,11389,11387,11008,10620,10338,10019,9683,9567,9476,9498,9595,9685,9767,9906,9950,9995,10070,10149,10289,10372,10378,10326,10301,10341,10346,10378,10451,10372,10347,10359,10338,10294,10275,10322,10089,9511,9047,9005,9372,9873,10384,10895,11272,11421,11480,11397,11185,11040,10936,10777,10620,10524,10431
2024-08-08,19:32:28,0,87,10313,10767,11257,11349,11152,10733,10341,10051,9757,9655,9633,9501,9474,9555,9635,9776,9856,9946,9941,10049,10234,10320,10406,10453,10505,10452,10445,10407,10496,10472,10331,10327,10334,10428,10429,10416,10377,9866,9150,8942,9164,9613,10135,10699,11008,11234,11376,11361,11222,11074,10957,10808,10697,10507,10475
2024-08-08,19:32:44,0,87,10592,11190,11465,11348,11023,10539,10106,9851,9603,9426,9306,9325,9471,9681,9784,9897,9981,10078,10141,10174,10170,10235,10323,10418,10471,10371,10344,10380,10441,10519,10524,10535,10527,10542,10443,10328,10029,9309,8802,8804,9227,9913,10582,10971,11269,11344,11361,11330,11181,10986,10856,10769,10666,10555,10504
2024-08-08,19:33:00,0,87,10448,10950,11403,11407,11090,10662,10328,9983,9698,9558,9495,9404,9400,9573,9697,9758,9902,10013,10157,10274,10276,10306,10323,10460,10483,10445,10376,10322,10361,10364,10460,10533,10466,10463,10400,10342,10251,9698,9089,8814,9006,9532,10212,10800,11151,11350,11474,11442,11348,11206,10921,10798,10688,10534,10431
2024-08-08,19:33:16,0,87,10593,11125,11354,11301,10984,10602,10136,9778,9558,9369,9396,9532,9589,9636,9700,9789,9935,10096,10068,10113,10276,10330,10320,10378,10387,10412,10507,10554,10593,10511,10433,10372,10348,10366,10347,10319,10022,9356,8949,8968,9337,9970,10559,11102,11339,11391,11352,11288,11187,11088,10918,10767,10634,10440,10320
2024-08-08,19:33:32,0,87,10280,10890,11398,11388,11104,10733,10319,9923,9657,9631,9652,9643,9617,9590,9690,9743,9848,9975,10143,10278,10381,10332,10213,10165,10204,10359,10608,10663,10549,10403,10398,10362,10300,10210,10227,10314,10315,9747,9000,8749,9046,9647,10355,10906,11209,11386,11489,11419,11302,11123,10953,10726,10562,10512,10436
2024-08-08,19:33:48,0,87,10137,10514,11168,11448,11434,11083,10592,10102,9777,9593,9496,9496,9530,9591,9642,9765,9910,9950,9993,9993,10151,10278,10301,10333,10329,10282,10295,10202,10256,10438,10539,10554,10566,10612,10531,10449,10337,9973,9322,8870,8866,9276,9880,10534,11015,11351,11520,11564,11419,11235,11069,10853,10630,10522,10419
2024-08-08,19:34:04,0,87,10464,11011,11466,11473,11150,10723,10287,9914,9564,9515,9424,9392,9425,9507,9690,9766,9901,10046,10139,10164,10217,10229,10304,10342,10327,10414,10428,10420,10400,10428,10539,10600,10537,10521,10469,10476,10317,9721,9039,8851,9053,9580,10223,10712,11035,11224,11424,11429,11324,11161,10997,10808,10610,10516,10441
2024-08-08,19:34:20,0,87,10255,10673,11279,11547,11371,10870,10456,10170,9862,9692,9534,9448,9485,9511,9513,9570,9736,9911,10032,10234,10279,10265,10325,10262,10348,10388,10472,10545,10453,10395,10348,10416,10500,10480,10422,10480,10472,10025,9225,8855,9021,9445,10051,10586,11037,11233,11368,11348,11318,11183,11038,10961,10800,10547,10412
2024-08-08,19:34:36,0,87,10551,11044,11352,11335,11053,10644,10256,9919,9618,9507,9352,9329,9292,9410,9684,9928,9995,10073,10137,10167,10239,10322,10345,10435,10391,10349,10402,10478,10460,10424,10502,10442,10331,10286,10292,10315,10249,9726,9016,8810,9185,9821,10444,10920,11277,11422,11452,11395,11234,11048,10933,10838,10666,10471,10384
2024-08-08,19:34:52,0,87,10295,10670,11312,11552,11431,11040,10535,10101,9829,9539,9338,9352,9495,9581,9636,9635,9639,9769,9936,10122,10270,10426,10306,10347,10463,10444,10452,10485,10461,10406,10413,10427,10407,10406,10319,10267,10266,9944,9237,8892,8985,9486,10035,10534,10996,11333,11417,11405,11343,11263,11058,10882,10761,10690,10569
2024-08-08,19:35:08,0,87,10460,10999,11447,11417,11131,10673,10236,9834,9593,9420,9368,9447,9558,9674,9722,9775,9855,9921,9987,10034,10191,10371,10415,10478,10471,10473,10456,10446,10423,10474,10510,10509,10375,10259,10272,10312,10168,9623,9118,8979,9262,9772,10362,10846,11217,11399,11491,11464,11320,11069,10848,10697,10503,10341,10293
2024-08-08,19:35:24,0,87,10391,10703,11229,11459,11209,10715,10191,9832,9681,9555,9459,9424,9445,9547,9671,9815,9927,10090,10174,10233,10309,10284,10266,10370,10367,10477,10576,10566,10444,10381,10404,10494,10536,10384,10378,10334,10212,9819,9130,8794,8988,9462,10185,10822,11090,11314,11418,11260,11109,11088,10990,10842,10775,10606,10418
2024-08-08,19:35:40,0,87,10566,11130,11537,11498,11072,10689,10264,9854,9554,9462,9389,9314,9286,9444,9593,9656,9737,9936,10108,10289,10335,10357,10371,10304,10367,10414,10406,10425,10524,10555,10482,10407,10413,10443,10410,10434,10234,9531,8950,8778,9140,9710,10287,10857,11208,11473,11525,11421,11298,11063,10965,10843,10736,10559,10348
2024-08-08,19:35:56,0,87,10303,10729,11287,11456,11338,10881,10336,9964,9689,9517,9468,9445,9546,9585,9637,9755,9840,9865,9950,10161,10348,10414,10495,10445,10327,10252,10339,10481,10519,10463,10326,10233,10233,10354,10539,10507,10345,9821,9087,8769,8992,9508,10187,10726,11104,11320,11475,11509,11432,11276,11064,10887,10752,10605,10457
2024-08-08,19:36:12,0,87,10585,11168,11469,11448,11132,10695,10126,9796,9588,9377,9311,9343,9409,9552,9671,9705,9879,10010,10104,10207,10312,10335,10393,10489,10362,10341,10449,10492,10432,10464,10532,10511,10426,10386,10300,10294,10032,9380,8911,8958,9392,9915,10464,10942,11159,11316,11410,11412,11236,11134,11024,10876,10683,10478,10320
2024-08-08,19:36:28,0,87,10280,10767,11251,11415,11224,10815,10436,10161,9885,9694,9509,9455,9461,9502,9571,9680,9783,9849,9910,10153,10272,10356,10502,10506,10387,10394,10512,10472,10389,10334,10362,10408,10355,10287,10274,10355,10406,9875,9125,8847,9132,9614,10201,10730,11102,11246,11360,11483,11429,11158,10940,10834,10715,10560,10399
2024-08-08,19:36:44,0,87,10585,11262,11492,11353,10969,10508,10196,9891,9615,9463,9445,9396,9432,9509,9647,9899,10048,10059,10028,10212,10307,10378,10443,10422,10350,10289,10287,10337,10440,10444,10502,10514,10473,10450,10346,10359,10076,9323,8817,8724,9169,9750,10304,10993,11401,11543,11621,11511,11272,11024,10894,10818,10571,10438,10417
2024-08-08,19:37:00,0,87,10397,10927,11394,11391,11024,10650,10402,10083,9715,9497,9414,9339,9325,9504,9623,9792,9980,10010,9991,10010,10085,10267,10434,10561,10481,10461,10490,10521,10479,10425,10457,10492,10467,10461,10431,10345,10326,9777,9045,8691,8899,9488,10056,10661,11090,11366,11502,11518,11357,11182,11075,10909,10713,10557,10545
2024-08-08,19:37:16,0,87,10445,10673,11116,11431,11406,11046,10688,10235,9879,9677,9564,9378,9333,9442,9519,9719,9949,10027,9979,10026,10101,10169,10292,10421,10523,10509,10375,10347,10316,10377,10408,10492,10542,10374,10325,10240,10215,10037,9362,8853,8812,9280,9972,10563,11077,11324,11479,11553,11407,11132,10991,10855,10715,10560,10419
2024-08-08,19:37:32,0,87,10400,10960,11542,11587,11249,10703,10279,9876,9577,9404,9430,9434,9453,9525,9630,9710,9812,10012,10237,10324,10303,10360,10356,10371,10493,10450,10362,10374,10414,10372,10256,10321,10423,10454,10464,10418,10375,9758,8983,8787,9011,9547,10208,10747,11151,11427,11537,11531,11332,11132,10997,10835,10646,10462,10389
2024-08-08,19:37:48,0,87,10372,10715,11276,11534,11400,10977,10512,10091,9746,9503,9367,9353,9481,9556,9655,9789,9767,9909,10047,10213,10247,10286,10252,10297,10368,10544,10603,10468,10341,10361,10403,10446,10417,10413,10482,10492,10445,9957,9174,8651,8778,9305,9998,10593,11013,11329,11410,11439,11397,11260,11210,10967,10692,10545,10534
2024-08-08,19:38:04,0,87,10497,11140,11506,11353,11012,10587,10250,9979,9730,9529,9424,9373,9372,9523,9669,9804,9883,9924,9908,9936,10068,10225,10373,10405,10455,10576,10533,10529,10592,10589,10520,10449,10350,10348,10377,10327,10196,9557,8845,8784,9188,9806,10415,10890,11200,11350,11468,11479,11363,11154,10950,10852,10723,10617,10528
2024-08-08,19:38:20,3,0,16383,16383,16383,16382,15698,14490,13546,12810,12236,11627,9277,5998,3421,2622,2620,2620,2622,2939,4002,4873,5157,5359,5604,5955,6510,7290,8513,10333,12413,14427,15873,16381,16383,16329,14922,12902,11834,12100,13389,14858,15862,15961,15482,14564,13322,12042,10796,9668,8614,7594,6770,6187,5713,5460,5546
2024-08-08,19:38:26,3,0,5784,6190,6736,7379,8035,8789,9594,10390,11217,11973,12524,12899,13034,12958,12654,12282,11810,11258,10819,10397,10100,9890,9825,9763,9779,9640,9338,9028,8781,8525,7854,6481,5151,4763,4715,4321,3395,2619,2938,4448,5762,6778,7567,8179,9198,15348,16383,16383,16383,16383,16383,16383,16383,16313,15272
2024-08-08,19:38:31,3,0,14142,13271,12598,12080,11684,11369,11118,10432,5396,2614,2611,2605,2602,2603,2611,3169,8065,13121,16164,16383,16383,16383,16383,16383,16383,16383,16132,14938,13891,12967,10676,7297,4260,2641,2641,2619,2619,2617,2617,2616,2616,2618,2618,2618,2618,4033,4033,7463,7463,10380,10380,12746,12746,14416,14416
2024-08-08,19:38:37,3,0,15247,15516,15970,16383,16383,16383,16383,16383,15739,14519,13562,12812,10288,3464,2615,2613,2614,2615,2617,2619,2672,3865,5308,6426,7295,7967,8487,8884,9197,10574,13709,15670,16329,16383,16383,16383,16383,16383,16383,16383,16380,14845,12168,9844,7783,6651,6332,6509,7308,8734,10699,13170,15276,16277,16302
